codi_indicador,any,codi_municipi,nom_municipi,valor_final
9.8,2022,8121,Mataró,"1,00"
9.8,2022,8122,Mediona,"0,02"
9.8,2022,8123,Molins de Rei,"0,99"
9.8,2022,8124,Mollet del Vallès,"1,00"
9.8,2022,8125,Montcada i Reixac,"0,98"
9.8,2022,8126,Montgat,"0,99"
9.8,2022,8127,Monistrol de Montserrat,"0,97"
9.8,2022,8128,Monistrol de Calders,"0,00"
9.8,2022,8129,Muntanyola,"0,61"
9.8,2022,8130,Montclar,"0,00"
9.8,2022,8131,Montesquiu,"0,92"
9.8,2022,8132,Montmajor,"0,00"
9.8,2022,8133,Montmaneu,"0,00"
9.8,2022,8134,Figaró-Montmany,"0,90"
9.8,2022,8135,Montmeló,"1,00"
9.8,2022,8136,Montornès del Vallès,"0,99"
9.8,2022,8137,Montseny,"0,00"
9.8,2022,8138,Moià,"0,99"
9.8,2022,8139,Mura,"0,00"
9.8,2022,8140,Navarcles,"1,00"
9.8,2022,8141,Navàs,"0,95"
9.8,2022,8142,La Nou de Berguedà,"0,00"
9.8,2022,8143,Òdena,"0,94"
9.8,2022,8144,Olvan,"0,47"
9.8,2022,8145,Olèrdola,"0,95"
9.8,2022,8146,Olesa de Bonesvalls,"0,93"
9.8,2022,8147,Olesa de Montserrat,"0,99"
9.8,2022,8148,Olivella,"0,98"
9.8,2022,8149,Olost,"0,85"
9.8,2022,8150,Orís,"0,66"
9.8,2022,8151,Oristà,"0,57"
9.8,2022,8152,Orpí,"0,00"
9.8,2022,8153,Òrrius,"0,71"
9.8,2022,8154,Pacs del Penedès,"0,94"
9.8,2022,8155,Palafolls,"0,93"
9.8,2022,8156,Palau-solità i Plegamans,"0,97"
9.8,2022,8157,Pallejà,"0,99"
9.8,2022,8158,El Papiol,"0,97"
9.8,2022,8159,Parets del Vallès,"0,99"
9.8,2022,8160,Perafita,"0,00"
9.8,2022,8161,Piera,"0,97"
9.8,2022,8162,Els Hostalets de Pierola,"0,82"
9.8,2022,8163,Pineda de Mar,"0,99"
9.8,2022,8164,El Pla del Penedès,"0,97"
9.8,2022,8165,La Pobla de Claramunt,"0,98"
9.8,2022,8166,La Pobla de Lillet,"0,00"
9.8,2022,8167,Polinyà,"0,98"
9.8,2022,8168,Pontons,"0,00"
9.8,2022,8169,El Prat de Llobregat,"1,00"
9.8,2022,8170,Els Prats de Rei,"0,00"
9.8,2022,8171,Prats de Lluçanès,"0,96"
9.8,2022,8172,Premià de Mar,"1,00"
9.8,2022,8174,Puigdàlber,"1,00"
9.8,2022,8175,Puig-reig,"0,89"
9.8,2022,8176,Pujalt,"0,00"
9.8,2022,8177,La Quar,"0,00"
9.8,2022,8178,Rajadell,"0,02"
9.8,2022,8179,Rellinars,"0,95"
9.8,2022,8180,Ripollet,"1,00"
9.8,2022,8181,La Roca del Vallès,"0,95"
9.8,2022,8182,El Pont de Vilomara i Rocafort,"0,80"
9.8,2022,8183,Roda de Ter,"1,00"
9.8,2022,8184,Rubí,"0,99"
9.8,2022,8185,Rubió,"0,00"
9.8,2022,8187,Sabadell,"1,00"
9.8,2022,8188,Sagàs,"0,00"
9.8,2022,8189,Sant Pere Sallavinera,"0,00"
9.8,2022,8190,Saldes,"0,00"
9.8,2022,8191,Sallent,"0,97"
9.8,2022,8192,Santpedor,"1,00"
9.8,2022,8193,Sant Iscle de Vallalta,"0,55"
9.8,2022,8194,Sant Adrià de Besòs,"1,00"
9.8,2022,8195,Sant Agustí de Lluçanès,"0,00"
9.8,2022,8196,Sant Andreu de la Barca,"1,00"
9.8,2022,8197,Sant Andreu de Llavaneres,"0,95"
9.8,2022,8198,Sant Antoni de Vilamajor,"0,94"
9.8,2022,8199,Sant Bartomeu del Grau,"0,68"
9.8,2022,8200,Sant Boi de Llobregat,"0,99"
9.8,2022,8201,Sant Boi de Lluçanès,"0,00"
9.8,2022,8202,Sant Celoni,"0,98"
9.8,2022,8203,Sant Cebrià de Vallalta,"0,94"
9.8,2022,8204,Sant Climent de Llobregat,"0,96"
9.8,2022,8205,Sant Cugat del Vallès,"0,99"
9.8,2022,8206,Sant Cugat Sesgarrigues,"0,97"
9.8,2022,8207,Sant Esteve de Palautordera,"0,96"
9.8,2022,8208,Sant Esteve Sesrovires,"0,98"
9.8,2022,8209,Sant Fost de Campsentelles,"0,93"
9.8,2022,8210,Sant Feliu de Codines,"0,98"
9.8,2022,8211,Sant Feliu de Llobregat,"1,00"
9.8,2022,8212,Sant Feliu Sasserra,"0,80"
9.8,2022,8213,Sant Fruitós de Bages,"0,98"
9.8,2022,8214,Vilassar de Dalt,"0,99"
9.8,2022,8215,Sant Hipòlit de Voltregà,"1,00"
9.8,2022,8216,Sant Jaume de Frontanyà,"0,00"
9.8,2022,8217,Sant Joan Despí,"1,00"
9.8,2022,8218,Sant Joan de Vilatorrada,"0,99"
9.8,2022,8219,Vilassar de Mar,"0,99"
9.8,2022,8220,Sant Julià de Vilatorta,"0,94"
9.8,2022,8221,Sant Just Desvern,"0,99"
9.8,2022,8222,Sant Llorenç d'Hortons,"0,91"
9.8,2022,8223,Sant Llorenç Savall,"0,92"
9.8,2022,8224,Sant Martí de Centelles,"0,88"
9.8,2022,8225,Sant Martí d'Albars,"0,00"
9.8,2022,8226,Sant Martí de Tous,"0,00"
9.8,2022,8227,Sant Martí Sarroca,"0,90"
9.8,2022,8228,Sant Martí Sesgueioles,"0,00"
9.8,2022,8229,Sant Mateu de Bages,"0,00"
9.8,2022,8230,Premià de Dalt,"0,99"
9.8,2022,8231,Sant Pere de Ribes,"0,96"
9.8,2022,8232,Sant Pere de Riudebitlles,"0,98"
9.8,2022,8233,Sant Pere de Torelló,"0,98"
9.8,2022,8234,Sant Pere de Vilamajor,"0,85"
9.8,2022,8235,Sant Pol de Mar,"0,96"
9.8,2022,8236,Sant Quintí de Mediona,"0,98"
9.8,2022,8237,Sant Quirze de Besora,"0,98"
9.8,2022,8238,Sant Quirze del Vallès,"0,99"
9.8,2022,8239,Sant Quirze Safaja,"0,63"
9.8,2022,8240,Sant Sadurní d'Anoia,"0,98"
9.8,2022,8241,Sant Sadurní d'Osormort,"0,00"
9.8,2022,8242,Marganell,"0,02"
9.8,2022,8243,Santa Cecília de Voltregà,"0,04"
9.8,2022,8244,Santa Coloma de Cervelló,"0,99"
9.8,2022,8245,Santa Coloma de Gramenet,"1,00"
9.8,2022,8246,Santa Eugènia de Berga,"0,95"
9.8,2022,8247,Santa Eulàlia de Riuprimer,"0,99"
9.8,2022,8248,Santa Eulàlia de Ronçana,"0,93"
9.8,2022,8249,Santa Fe del Penedès,"0,99"
9.8,2022,8250,Santa Margarida de Montbui,"0,97"
9.8,2022,8251,Santa Margarida i els Monjos,"0,97"
